Date,Calories,Steps,Distance in miles
5/3/24,193,9264,3.86
5/4/24,431,20688,8.62
5/5/24,110,5280,2.2
5/6/24,71,3408,1.42
5/7/24,84,4032,1.68
5/8/24,139,6672,2.78
5/9/24,171,8208,3.42
5/10/24,54,2592,1.08
5/11/24,358,17184,7.16
5/12/24,79,3792,1.58
5/13/24,107,5136,2.14
5/14/24,206,9888,4.12
5/15/24,69,3312,1.38
5/16/24,105,5040,2.1
5/17/24,108,5184,2.16
5/18/24,62,2976,1.24
5/19/24,232,11136,4.64
5/20/24,78,3744,1.56
5/21/24,145,6960,2.9
5/22/24,195,9360,3.9
5/23/24,173,8304,3.46
5/24/24,120,5760,2.4
5/25/24,385,18480,7.7
5/26/24,248,11904,4.96
5/27/24,402,19296,8.04
5/28/24,271,13008,5.42
5/29/24,383,18384,7.66
5/30/24,294,14112,5.88
5/31/24,356,17088,7.12
6/1/24,247,11856,4.94
6/2/24,130,6240,2.6
6/3/24,139,6672,2.78
6/4/24,171,8208,3.42
6/5/24,169,8112,3.38
6/6/24,183,8784,3.66
6/7/24,331,15888,6.62
6/8/24,168,8064,3.36
6/9/24,133,6384,2.66
6/10/24,244,11712,4.88
6/11/24,68,3264,1.36
6/12/24,182,8736,3.64
6/13/24,125,6000,2.5
6/14/24,95,4560,1.9
6/15/24,105,5040,2.1
6/16/24,160,7680,3.2
6/17/24,58,2784,1.16
6/18/24,103,4944,2.06
6/19/24,102,4896,2.04
6/20/24,92,4416,1.84
6/21/24,53,2544,1.06
6/22/24,131,6288,2.62
6/23/24,224,10752,4.48
6/24/24,243,11664,4.86
6/25/24,323,15504,6.46
6/26/24,67,3216,1.34
6/27/24,111,5328,2.22
6/28/24,58,2784,1.16
6/29/24,117,5616,2.34
6/30/24,114,5472,2.28
7/1/24,101,4848,2.02
7/2/24,100,4800,2
7/3/24,64,3072,1.28
7/4/24,94,4512,1.88
7/5/24,154,7392,3.08
7/6/24,111,5328,2.22
7/7/24,154,7392,3.08
7/8/24,82,3936,1.64
7/9/24,148,7104,2.96
7/10/24,79,3792,1.58
7/11/24,122,5856,2.44
7/12/24,116,5568,2.32
7/13/24,113,5424,2.26
7/14/24,85,4080,1.7
7/15/24,199,9552,3.98
7/16/24,151,7248,3.02
7/17/24,122,5856,2.44
7/18/24,177,8496,3.54
7/19/24,116,5568,2.32
7/20/24,216,10368,4.32
7/21/24,89,4272,1.78
7/22/24,122,5856,2.44
7/23/24,226,10848,4.52
7/24/24,446,21408,8.92
7/25/24,175,8400,3.5
7/26/24,292,14016,5.84
7/27/24,141,6768,2.82
7/28/24,135,6480,2.7
7/29/24,188,9024,3.76
7/30/24,85,4080,1.7
7/31/24,228,10944,4.56
8/1/24,81,3888,1.62
8/2/24,118,5664,2.36
8/3/24,145,6960,2.9
8/4/24,124,5952,2.48
8/5/24,88,4224,1.76
8/6/24,83,3984,1.66
8/7/24,122,5856,2.44
8/8/24,59,2832,1.18
8/9/24,103,4944,2.06
8/10/24,80,3840,1.6
8/11/24,145,6960,2.9
8/12/24,124,5952,2.48
8/13/24,123,5904,2.46
8/14/24,164,7872,3.28
8/15/24,29,1392,0.58
8/16/24,104,4992,2.08
8/17/24,156,7488,3.12
8/18/24,172,8256,3.44
8/19/24,118,5664,2.36
8/20/24,156,7488,3.12
8/21/24,48,2304,0.96
8/22/24,326,15648,6.52
8/23/24,247,11856,4.94
8/24/24,225,10800,4.5
8/25/24,88,4224,1.76
8/26/24,148,7104,2.96
8/27/24,96,4608,1.92
8/28/24,241,11568,4.82
8/29/24,211,10128,4.22
8/30/24,231,11088,4.62
8/31/24,108,5184,2.16
9/1/24,168,8064,3.36
9/2/24,194,9312,3.88
9/3/24,211,10128,4.22
9/4/24,207,9936,4.14
9/5/24,33,1584,0.66
9/6/24,127,6096,2.54
9/7/24,92,4416,1.84
9/8/24,102,4896,2.04
9/9/24,171,8208,3.42
9/10/24,121,5808,2.42
9/11/24,256,12288,5.12
9/12/24,211,10128,4.22
9/13/24,83,3984,1.66
9/14/24,175,8400,3.5
9/15/24,229,10992,4.58
9/16/24,291,13968,5.82
9/17/24,248,11904,4.96
9/18/24,244,11712,4.88
9/19/24,214,10272,4.28
9/20/24,77,3696,1.54
9/21/24,123,5904,2.46
9/22/24,80,3840,1.6
9/23/24,234,11232,4.68
9/24/24,226,10848,4.52
9/25/24,230,11040,4.6
9/26/24,53,2544,1.06
9/27/24,115,5520,2.3
9/28/24,81,3888,1.62
9/29/24,69,3312,1.38
9/30/24,111,5328,2.22
10/1/24,177,8496,3.54
10/2/24,83,3984,1.66
10/3/24,84,4032,1.68
10/4/24,51,2448,1.02
10/5/24,53,2544,1.06
10/6/24,183,8784,3.66
10/7/24,155,7440,3.1
10/8/24,315,15120,6.3
10/9/24,198,9504,3.96
10/10/24,289,13872,5.78
10/11/24,205,9840,4.1
10/12/24,166,7968,3.32
10/13/24,335,16080,6.7
10/14/24,199,9552,3.98
10/15/24,198,9504,3.96
10/16/24,165,7920,3.3
10/17/24,215,10320,4.3
10/18/24,2,96,0.04
10/19/24,164,7872,3.28
10/20/24,105,5040,2.1
10/21/24,203,9744,4.06
10/22/24,161,7728,3.22
10/23/24,205,9840,4.1
10/24/24,36,1728,0.72
10/25/24,280,13440,5.6
10/26/24,72,3456,1.44
10/27/24,125,6000,2.5
10/28/24,243,11664,4.86
10/29/24,231,11088,4.62
10/30/24,17,816,0.34
10/31/24,141,6768,2.82
11/1/24,174,8352,3.48
11/2/24,83,3984,1.66
11/3/24,93,4464,1.86
11/4/24,245,11760,4.9
11/5/24,113,5424,2.26
11/6/24,359,17232,7.18
11/7/24,220,10560,4.4
11/8/24,33,1584,0.66
11/9/24,278,13344,5.56
11/10/24,63,3024,1.26
11/11/24,138,6624,2.76
11/12/24,214,10272,4.28
11/13/24,118,5664,2.36
11/14/24,334,16032,6.68
11/15/24,103,4944,2.06
11/16/24,178,8544,3.56
11/17/24,192,9216,3.84
11/18/24,133,6384,2.66
11/19/24,218,10464,4.36
11/20/24,250,12000,5
11/21/24,216,10368,4.32
11/22/24,114,5472,2.28
11/23/24,131,6288,2.62
11/24/24,199,9552,3.98
11/25/24,166,7968,3.32
11/26/24,178,8544,3.56
11/27/24,266,12768,5.32
11/28/24,169,8112,3.38
11/29/24,140,6720,2.8
